benchmark,function,function_id,final_fitness,optimum,gap_to_optimum
cec2022,F1,1,1057.845723068276,300.0,757.8457230682759
cec2022,F2,2,481.03342394332583,400.0,81.03342394332583
cec2022,F3,3,602.757365292767,600.0,2.7573652927669627
cec2022,F4,4,832.8337427142989,800.0,32.833742714298864
cec2022,F5,5,911.8250327678469,900.0,11.825032767846892
cec2022,F6,6,2021.7376655869166,1800.0,221.7376655869166
cec2022,F7,7,2024.5130510136476,2000.0,24.513051013647555
cec2022,F8,8,2223.5290270759956,2200.0,23.5290270759956
cec2022,F9,9,2540.0994499421085,2300.0,240.09944994210855
cec2022,F10,10,2500.478085082031,2400.0,100.47808508203116
cec2022,F11,11,2607.8667692846075,2600.0,7.8667692846074715
cec2022,F12,12,2864.663989355479,2700.0,164.66398935547886
