function,wo_base_final,wo_shap_shapaware_final,base_minus_control,better,event_count,improved_count,neutral_count,worsened_count,first_event_iteration,first_diff_vs_base,stagnation_iterations,decision_policies,harmful_features
F1,1057.845723068276,1057.845723068276,0.0,TIE,0,0,0,0,,,20,,
F2,481.03342394332583,481.03342394332583,0.0,TIE,0,0,0,0,,,0,,
F3,602.757365292767,602.0021028226706,0.7552624700963406,WO_SHAP,2,1,1,0,106,159,137,attenuate_schedule_signal:1; respect_regime_signal:1,alpha:1; danger_signal:1
F4,832.8337427142989,832.833579547421,0.00016316687788275885,WO_SHAP,1,0,1,0,113,158,110,attenuate_schedule_signal:1,alpha:1
F5,911.8250327678469,910.7790649424107,1.0459678254361506,WO_SHAP,2,2,0,0,133,134,48,respect_regime_signal:2,danger_signal:2
F6,2021.7376655869166,3396.84896084057,-1375.1112952536532,WO_BASE,2,0,2,0,113,137,93,attenuate_schedule_signal:2,beta:1; iteration:1
F7,2024.5130510136476,2057.2580016173765,-32.74495060372897,WO_BASE,4,1,3,0,82,90,229,attenuate_schedule_signal:2; reinforce_diversity_signal:1; respect_regime_signal:1,alpha:1; beta:1; diversity:1; safety_signal:1
F8,2223.5290270759956,2225.0556377836797,-1.5266107076840854,WO_BASE,2,0,2,0,113,114,66,attenuate_schedule_signal:2,alpha:1; beta:1
F9,2540.0994499421085,2540.0994499421085,0.0,TIE,0,0,0,0,,,17,,
F10,2500.478085082031,2500.478085082031,0.0,TIE,0,0,0,0,,,24,,
F11,2607.8667692846075,2607.8667692846075,0.0,TIE,0,0,0,0,,,0,,
F12,2864.663989355479,2862.296817247596,2.367172107882652,WO_SHAP,3,2,1,0,82,91,92,attenuate_schedule_signal:1; reinforce_diversity_signal:1; respect_regime_signal:1,alpha:1; diversity_norm:1; safety_signal:1
