benchmark,function,function_id,final_fitness,optimum,gap_to_optimum,event_count
cec2022,F1,1,1057.845723068276,300.0,757.8457230682759,0
cec2022,F2,2,481.03342394332583,400.0,81.03342394332583,0
cec2022,F3,3,602.0021028226706,600.0,2.002102822670622,2
cec2022,F4,4,832.833579547421,800.0,32.83357954742098,1
cec2022,F5,5,910.7790649424107,900.0,10.779064942410741,2
cec2022,F6,6,1947.2744348068297,1800.0,147.27443480682973,2
cec2022,F7,7,2057.2580016173765,2000.0,57.25800161737652,4
cec2022,F8,8,2225.0556377836797,2200.0,25.055637783679686,2
cec2022,F9,9,2540.0994499421085,2300.0,240.09944994210855,0
cec2022,F10,10,2500.478085082031,2400.0,100.47808508203116,0
cec2022,F11,11,2607.8667692846075,2600.0,7.8667692846074715,0
cec2022,F12,12,2862.296817247596,2700.0,162.2968172475962,3
